k,wcv,silhouette,davies_bouldin
2,27.685379442343788,0.42530022905217063,2.0988341238443318
3,37.1972957792716,0.3987090657445222,1.580018472953056
4,40.56755054516178,0.39058560958468214,1.2286667256046573
5,50.04757849427203,0.32564947295651,1.3748658617788247
6,56.55549510616882,0.325467603035792,1.325157753706338
7,59.07588036854915,0.1229640211773439,1.52496968774658
8,62.74261756564978,0.1347887015602285,1.408691074480806
9,63.55692882999018,0.142067146036181,1.3342548033131576
10,67.59969673499653,0.14206710895486505,1.2871912810248904
11,68.23635139337294,0.1288592859048589,1.2268893432259818
12,65.70908189768598,0.13470736422087207,1.1512952271260632
