,DY_Mes,LTV,Percentual_Vacancia,Percentual_Inadimplencia,beta_CDI,beta_IPCA,beta_IMAB,P_VPA
HTMX11.SA,0.006284,0.0150215162505251,0.0,0.0,0.0482896411445962,-0.06662399685035,0.004739497144079,0.9660455500396592
BRCR11.SA,0.000917,0.0572706222906657,0.0322108550304126,0.0,0.030496811540509,-0.0200020072080933,0.0126765392689119,0.5189109131614925
RBRD11.SA,0.01014993,0.0132661283389724,0.140167853705193,0.0,0.039770904861224,-0.0364018007765883,0.0113843405033185,0.6080247975505664
HGRE11.SA,0.009626,0.0387132493866981,0.1690121868868534,0.0,0.0325701242343751,0.0058266289329775,0.0079883736857478,0.8125083867439428
WPLZ11.SA,0.006769,0.0094107416921124,0.0867209097225628,0.0683,0.0368956148115955,0.0082448827759053,0.0073114833530354,0.9841686698700142
SEQR11.SA,0.00619927,0.0219836471059917,0.0,0.0,0.0310249804550502,-0.013793020479027,0.0035098044974574,0.5157932953090091
DOVL11.SA,0.018117,0.0303123429983749,0.0,0.0,0.0292963026362578,0.0266705606609936,0.0050565210411347,1.094909964576585
PQDP11.SA,0.003501,0.0163195612132345,0.00655,-0.0018,0.0397693559910913,-0.0262282452371518,0.0102655909138807,0.7991924427470309
HGCR11.SA,0.010214,0.0108119503698487,0.0,0.0,0.016563752933853,0.0116714284696044,0.0043992265761289,0.957537502703909
FAED11.SA,0.007729,0.0076179269293831,0.0,0.0,0.0201419923871569,-0.0327782387061831,0.0052299590388474,0.664239463162102
HGPO11.SA,0.0,0.0310252240437389,0.0,0.0,0.0084884194430401,-0.0008821298588919,0.0009674040382211,0.975752349773614
MAXR11.SA,0.002695,0.0067855593404465,0.1152019856377166,0.0,-0.0963028606533636,-0.0252618244163027,0.0056872257820171,0.6639452642130527
FCFL11.SA,0.007311,0.0052495096411874,0.0,0.987621,0.0243443563260634,0.0083878004544586,0.0080646459438481,0.9892821487858072
VRTA11.SA,0.01009,0.0430067188703105,0.0,0.0,0.0137375170990889,0.0080939876227346,0.0080812149507306,0.9384972719293708
HGLG11.SA,0.006635,0.1540993537243817,0.029087829075926,0.0,0.0136093223333791,-0.0089234908288272,0.0044288571121707,0.9196696613688335
GSFI11.SA,0.0,0.3214924333548596,0.0897914735242638,0.0386666666666666,0.0175192081846046,0.0170304005785216,0.0149727881146377,0.8103367035424806
BTLG11.SA,0.006592,0.1360499574920262,0.0301882719568141,0.0,0.0079759096374011,-0.0122709261063088,0.0122075905560575,0.972566472107968
RBDS11.SA,0.0,0.0402647490789829,0.0,0.0,0.0693058686373242,-0.0738250351134354,0.0027752857780624,0.1001063970365345
KNRI11.SA,0.007648,0.0876333549941724,0.0009077049054018,0.0594573296029722,0.0323103087389956,-0.0113707045838489,0.004226485074282,0.917669668286495
VINO11.SA,0.004972,0.3442466157569124,0.1024721274175199,0.0,0.0035910684115599,0.0008951293291157,0.0117964554561584,0.5045280860067027
BBRC11.SA,0.019965,0.0228823503349031,0.1252492849139663,0.0,0.0370591392832917,-0.0164305908625931,0.0058520400428089,0.9342521470774902
FISC11.SA,0.002376,0.003388670282726,0.0622067950778947,0.0,0.042451705022312,0.0337704707954904,-0.0103368720195837,0.4722256748989917
CXTL11.SA,0.000448,0.0884346638179183,0.0,0.0,0.0424454276345075,-0.0061092123953279,0.0059391480307699,0.8254214577875543
PQAG11.SA,0.008648,0.0352832736911972,0.0,0.0,-0.0147883256987107,-0.0061385805703843,0.0003590448302365,0.9880587922011328
ELDO11.SA,0.00706,0.0034065783072971,0.0049,0.003147,0.0118508434884948,-0.0014949845619962,-4.226079065787357e-05,0.5178235598523807
JSRE11.SA,0.0047,0.0623046689881722,0.0178186831650144,0.0,0.0268258979885432,-0.0134793334581024,0.0112929631603649,0.6102520105173167
RBOP11.SA,0.020168,0.0353040061573475,0.7191999923563813,0.0,0.0183561636639736,-0.0558679823412229,0.0096481840642884,0.2707097746714817
CNES11.SA,0.000449,0.0038860554832654,0.54701828895719,0.41935490456818,0.0390991880975597,-0.0196043814733173,0.0116881500814469,0.268531118163735
CARE11.SA,0.0,0.0022133644047062,0.0,0.0,-0.0498572150671289,0.1437346246115342,0.0317211524612633,0.7795634067381076
PRSN11.SA,0.0,0.1921397004300302,0.0,0.0,0.0046893505942082,-0.1306577581134434,0.0172888064050824,3.4085183016420766
PLRI11.SA,0.0,0.0221342413419167,0.0,0.0,0.0013734523513253,0.0101551270951808,-0.0009129465805166,0.79544709666796
FIIB11.SA,0.007525,0.0093628828318385,0.0578,0.121318,0.0218907795702731,-0.0072437251843345,0.0020269916890693,0.7890778976524551
BMLC11.SA,0.006615,0.034680500315902,0.0,0.0,0.0161120151673743,-0.0038051337733221,0.0056109090948989,0.8567295625729457
NEWU11.SA,0.013206,0.0190665198180504,0.4535746446583305,0.0,0.0799296179892648,0.0393533420317145,0.0064366087347382,1.2549681839939717
RNGO11.SA,0.003479,0.0052591430215426,0.1162677965948725,0.0,0.0477228293140633,-0.0035950463343951,0.0079362060713102,0.5943584729645032
EDGA11.SA,0.000655,0.0062638106908756,0.2438,0.05466068088481,0.031478108337588,0.0140955189896611,0.0093819351501151,0.2998328888644754
SPTW11.SA,0.010212,0.0119049282403163,0.0,0.0,0.0367348504639291,-0.0166457655874826,0.0094688065988391,0.6506472931925972
BNFS11.SA,0.010226,0.0223018706680672,0.0043503625828348,0.0,0.0068212636705358,-0.0154093385515984,0.0033734151590464,0.9288299615906158
RBVA11.SA,0.008537,0.1273921717395358,0.0597067273843627,0.0,0.0429125966191241,-0.0068833068800598,0.0082521629778921,0.9313036392639392
CEOC11.SA,0.006655,0.0045305163276981,0.0,0.0,0.0332558403218687,-0.0114955484819306,0.0099191531997623,0.6074596269152096
TRBL11.SA,0.006382,0.1778787026511604,0.5016448596885839,0.0,0.043423439296082,-0.01356848030689,0.009378893008542,0.8186902102257816
KNCR11.SA,0.01273,0.0141003380595035,0.0,0.0,0.0174319535948291,0.0033654168445315,0.0018550056194796,1.0064125933796333
XPCM11.SA,0.0,0.0326203222985795,0.5672,0.0,0.0407411782110297,-0.0661392342545625,0.0159109050826106,0.2770106828622665
REIT11.SA,0.0,0.0193168191763757,0.0,0.0,-0.0095658412911308,0.0072177434338789,0.0057032359943959,0.2209961160736262
MFII11.SA,0.010864,0.0116932840007316,0.0,0.0,0.0134300606621403,-0.0055491561410218,0.005661216675303,0.737988205319218
HRDF11.SA,0.0,0.0030237611481569,0.0,0.0,0.0614085159778555,0.0441837151367446,0.008213561109057,0.3952722673063541
NVHO11.SA,0.005445,0.0104912198269525,0.0,0.0,0.0068114186737826,-0.0077666609654275,0.0125946358459813,0.7274314450293301
CXRI11.SA,0.007126,0.0083271778953755,0.0,0.0,0.1354561699125733,-0.0179869354272969,0.021040204608147,0.7694321281539175
CBOP11.SA,0.007395,0.0128973525316906,0.231994440740833,0.0,0.02134096199428,-0.0191719541692187,0.0076516422516965,0.4471281008231217
PORD11.SA,0.0,0.0162698241620561,0.0,0.0,0.0153987076349411,0.0027135387833589,0.0045394909277782,0.8140341848398343
FPNG11.SA,0.0,0.146826287526889,0.0467218186552953,0.0004104166666666,-0.1874520306421191,-0.0457143748540715,-0.0033038015583955,1.9029703497875163
VISC11.SA,0.006587,0.1662866815066261,0.0,0.0,0.027365854732908,0.0022668827717993,0.009934502915741,0.8965422307301235
FIGS11.SA,0.006317,0.0074289884861011,0.050574178426879,0.0185955,0.035919490742023,-0.0073631054382678,0.009599351259442,0.6428614548172766
FIVN11.SA,0.0,0.1062600393646713,0.8532,0.72,0.0950883919974359,-0.039242253304062,0.0128679752207144,0.5529261826617289
VOTS11.SA,0.0,0.0147755860739985,0.0,0.0,0.0180001793073318,0.0118342303191238,0.0072986851840035,0.7770593754426941
HFOF11.SA,0.00731,0.0075934673374619,0.0,0.0,0.035497366737203,-0.0215562876141576,0.0121431121485486,0.8196040456553488
BTHI11.SA,0.005328,0.0006329361210939,0.0,0.0,0.0101704886821984,0.0351998546854074,-0.0020167076186412,0.645064206518508
CPTS11.SA,0.011028,0.1380017654010691,0.0,0.0,-0.039410289634293,0.0182941505993541,0.0100564075748589,0.8161294431641438
RSPD11.SA,0.003406,0.1269198157512969,0.0,0.0,-0.0030552952476484,0.0203415670112311,-0.0068279052315188,0.8195849533189011
BCIA11.SA,0.008541,0.0094145264131997,0.0,0.0,0.0645471208115481,-0.0128135689757808,0.0072117449757611,0.8297958713643148
BRCO11.SA,0.007412,0.1549714558419581,0.0758983028226124,0.0,0.0354603209938189,-0.0075402260661773,0.004520258805892,0.9827556302958594
RBRP11.SA,0.005198,0.0104822025448355,0.1565445842683809,0.0,0.017753028875244,-0.0200676491434939,0.0113495848051772,0.6624463278307071
BCRI11.SA,0.010842,0.0147823605007533,0.0,0.0,0.0065824184242428,-0.0031706742045259,0.0090527132844798,0.7790434775923353
VVCR11.SA,0.0,0.0016206861874957,0.0,0.0,0.0218481745046928,0.0012011457872545,0.0029020783688669,0.8746599602999224
MCCI11.SA,0.009075,0.0008409679353263,0.0,0.0,0.0106354869827036,0.0079736879052933,0.0062679423108334,0.9327869971950584
GTWR11.SA,0.008876,0.0093829197718205,0.0,0.0,0.0353447984470963,-0.0329761657913011,0.0066257522224213,0.7841401195117288
VSHO11.SA,0.008241,0.0108754474828861,0.1010382010158449,0.0517333333333333,0.031126753865169,0.0035602009516529,0.0105830464560225,0.6392957999097502
VILG11.SA,0.00656,0.1346335937718283,0.014095627270339,0.0,0.0307489448384348,-0.0140623991991254,0.0065238580124846,0.8510326591003682
KNIP11.SA,0.00757,0.1018469709927972,0.0,0.0,0.0104845258794818,0.0101456187635168,0.0051204013583964,0.9446117318873086
TGAR11.SA,0.00930203,0.023799862424381,0.0,0.0,0.0038455998040889,-0.0168541208551719,0.013901559777973,0.8049154549695521
OUJP11.SA,0.010139,0.0152319394930071,0.0,0.0,0.0252797447735841,0.0060712046825221,0.0079352430870873,0.7478634223966482
XPLG11.SA,0.00774229,0.1428163264668459,0.0377940828028377,0.0,0.033063373097636,-0.0133837479745351,0.0035084578784566,0.9715634569665824
GGRC11.SA,0.0,0.1134498178845635,0.0,0.0,0.0183836098075884,-0.010544378072028,0.0100011001346868,0.8481309924116213
TEPP11.SA,0.000696,0.2407451036947205,0.0168689964930006,0.0,0.0283609405627549,-0.0248846470760736,0.005744374034627,0.8725703022525326
HAAA11.SA,0.020928,0.4671807236202572,0.170993457689659,0.0,0.0675340369213193,-0.0114014851720707,0.0155917497341567,0.8442751992126265
HLOG11.SA,0.006245,0.2353810471955172,0.0131203391146768,0.0,0.0287139331889856,-0.0249415810307085,0.005746581651684,0.7463027066555399
SJAU11.SA,0.0,0.0106009589711663,0.0,0.0,-0.1078600367600187,0.0164311452325865,-0.0195676312348912,5.75473021168167
RCFA11.SA,0.0,0.1356246455787423,0.0,0.0,-0.0363082963133301,0.0189738864201862,0.0433778201405736,0.0498109369655708
XPCI11.SA,0.009866,0.0106785228997443,0.0,0.0,0.0106726944865131,0.0061003590286395,0.0065315169124564,0.892179326611305
XPIN11.SA,0.00834182,0.1514258175957834,0.0600681843241749,0.0260814814814814,0.0335858662348971,-0.0251642562035421,0.0038478473086712,0.7800356751266121
TRXF11.SA,0.015642,0.628963958614258,0.0,0.0,0.0131716175132736,-0.0109623392951924,0.0081696562116544,0.9135366342898288
WTSP11.SA,0.0,0.0113463435001918,0.0349,0.1932,0.0197317301877788,-0.0234399354165964,0.0153018980732959,0.5369437076730703
ALZR11.SA,0.00812,0.2504429914986454,0.1125012121996665,0.0,0.0134137018891656,-0.0115660995242547,0.0072227443637625,0.9886094911148264
XPML11.SA,0.01196,0.195343610154612,0.0400297459603963,0.016875,0.0191080149939656,-0.0054932468301422,0.0043542014109794,0.1331966530724238
RBTS11.SA,0.021777,0.1563570330249005,0.0,0.0,0.0276448574887001,0.0174602307197195,-0.0107670837567143,1.4020351963308857
RBRR11.SA,0.0,0.0949080082593032,0.0,0.0,0.0088554096555253,0.0169269977205679,0.0045677973728228,0.9107758132531388
HGRU11.SA,0.011313,0.112498083673444,0.0081223163780485,0.0,0.0209965697271056,-0.0085276479203052,0.0072154561467358,0.9423107221111592
VGIR11.SA,0.0,0.0041613924599071,0.0,0.0,0.0150770240539747,0.0085905895767836,0.0025620469038543,0.963000393489722
PATC11.SA,0.001217,0.0090382328508783,0.3468325570119104,0.0,0.0410063317621071,-0.0083779192472289,0.0014094272359253,1.2164369616684705
KFOF11.SA,0.008767,0.0093163407531217,0.0,0.0,0.0456663303881846,-0.0101672661123524,0.0135036380152527,0.8990341450795192
KNHY11.SA,0.010102,0.0706535984793239,0.0,0.0,0.0150537473947765,0.01429230416973,0.0031700776325772,0.980042359404962
RBRY11.SA,0.0,0.0859517864763329,0.0,0.0,0.0187980321694413,0.0093255180724246,0.0044391639346938,0.9407762858484624
TORD11.SA,0.00028252,0.0015236305353557,0.0,0.0,-0.0813885372525102,0.0060264895587102,-0.0005433691511448,0.0540404807637485
LASC11.SA,0.003942,0.0049106546813176,0.0236126100307062,0.0,0.0203590203703683,-0.0039014185643272,-0.0038475502053926,0.8141750117094453
HCTR11.SA,0.00274787,0.0002343744038281,0.0,0.0,-0.0157538880566789,-0.0442883202342663,0.0110221134265351,0.1880126506712147
FATN11.SA,0.008311,0.1672442203986969,0.0525173548451713,0.0080645161290322,0.0574311871888093,-0.0019545606429379,0.0038605849170563,0.8577255166935394
HABT11.SA,0.00998342,0.0111425581116552,0.0,0.0,-0.0001127809156088,0.0057813359159666,0.0073261560330901,0.7640407483079767
LVBI11.SA,0.006373,0.0086916454463005,0.1182144661760655,0.0,0.0214147573964374,-0.0274024606764068,0.0042502474139684,0.9072732536662286
RBHG11.SA,0.009205,0.0099468486963121,0.0,0.0,0.0074536164311238,0.0150158717633219,0.0051886763396143,0.740377468763499
VPPR11.SA,0.0,0.4091229711660008,0.4393846846719055,0.0,0.0040348783267723,-0.0002521869981961,0.0135553921813246,0.3883016692015679
JPPA11.SA,0.012091,0.0186528047987672,0.0,0.0,0.0230185719166621,0.0068784629329545,0.0047784017720752,0.7859641415263765
XPSF11.SA,0.008833,0.0094203126266358,0.0,0.0,-0.0025273244016435,-0.0290730122870179,0.0084125171846069,0.7779211231933304
RBIR11.SA,0.009027,0.011811735412303,0.0,0.0,0.0152072520730628,-0.0336938016552431,0.0019916929053691,0.912345815755468
CRFF11.SA,0.007498,0.0089383363676313,0.0,0.0,0.0422415945005409,-0.000920251453891,0.0098513684669766,0.8240376443653712
ARRI11.SA,0.010711,0.0303189377839038,0.0,0.0,-0.0033668190969342,0.0013634044648341,0.0037274728338954,0.7796802043055906
RECT11.SA,0.00407,0.1684548510814849,0.0709846695221044,0.0,0.0213398751512464,-0.0055111516999637,0.0084929963499858,0.4089370929685819
NEWL11.SA,0.008275,0.3261623933359178,0.0,0.0,0.0300235087022914,-0.0085054112883594,0.005465130877335,0.849817618388787
HSML11.SA,0.00672,0.2291639544801393,0.913626671084678,0.0067036034874014,0.0393751567735021,-0.0061582540835731,0.0139936253940665,0.8566770689777307
HSLG11.SA,0.006568,0.2315138726047549,0.0,0.0,0.0139288055171054,-0.0213057299896872,0.0094714197188466,0.8203049958026459
BPML11.SA,0.004936,0.1599059678515254,0.0822578064375102,0.0142499999999999,0.0344171286732841,-0.0117500594388583,0.0057536859358231,0.667276247009058
FLCR11.SA,0.012668,0.031142332383419,0.0,0.0,0.0113561932197933,0.001249397002032,-0.0032133912235069,0.9732702447786734
RFOF11.SA,0.0,0.0138876150928953,0.0,0.0,0.0263808552325626,-0.0138088489596982,0.0089619360025079,0.8529237171810942
HOSI11.SA,0.00228635,0.0173239956188718,0.0,0.0,0.0190425539193636,-0.0048051552347709,0.012706335534276,0.6891578979656398
BLMG11.SA,0.00794569,1.0,0.0,0.0,-0.0138573691199701,-0.0416833201922515,0.0138471395230932,0.7076375884486257
VGIP11.SA,0.0,0.0009368082572219,0.0,0.0,-0.0010606489925989,0.0076432181314318,0.0057075245513941,0.865493855182602
URPR11.SA,0.0035209,0.0027783325273715,0.0,0.0,-0.0381393094706046,-0.0002261784179552,0.0001269531104286,0.3626577729928132
HCHG11.SA,0.00740164,0.0081940600875262,0.0,0.0,0.0503447642881095,0.002367591030741,0.0026303800603735,0.8218210013021657
INLG11.SA,0.00715522,0.0081715656120731,0.0031224147448168,0.0,0.0280826676733586,-0.0130362521677665,0.0036594030535114,0.7158476476383754
INRD11.SA,0.005636,0.007896442756322,0.0161887811729613,0.0254751999999999,0.0247285271900593,-0.0172214341762562,0.0022578714821402,0.6176939776830965
HSAF11.SA,0.010747,0.0114216114969857,0.0,0.0,0.0097285748540332,0.0163946705019766,0.0048068337785955,0.8625400336421598
HPDP11.SA,0.006044,0.1421308090117633,0.00655,-0.0018,0.0275509256562423,-0.013160401325948,0.0086612576479797,0.9252664100299314
PVBI11.SA,0.003741,0.00487218446954,0.1150534823108202,0.0,0.0162748239554415,0.0114930336954922,0.0007908251567061,0.7525738763725947
SEED11.SA,0.007749,0.011015018617775,0.0,0.0,0.0175587902516983,-0.0082422429235842,0.0013727914866317,1.085187894921552
RBRL11.SA,0.007127,0.036030082279621,0.0,0.0,0.0543140341295174,-0.0143044970320794,0.0186396312513235,0.8383843969846736
PATL11.SA,0.00722431,0.0102510724673954,0.0271268572334815,0.0,0.0346538094496992,-0.010943196837088,0.0071998550626928,0.7304937694179515
AIEC11.SA,0.004237,0.022023610565644,0.0,0.0,0.054108657815785,-0.0423307060379069,0.0095858506011777,0.6755923699123101
KNSC11.SA,0.010211,0.1044682053775431,0.0,0.0,0.0149042737804815,0.0245974689814279,0.0013936688169714,0.9609672336879804
VSLH11.SA,0.00287819,0.0026497281948351,0.0,0.0,-0.0661381510300849,-0.0215961651914548,0.0099435750237369,0.1999380522761421
ITIT11.SA,0.007743,0.0098200144460531,0.0,0.0,0.0504157039570911,-0.0173634445413193,0.0031930171025329,0.8480945690305204
ITIP11.SA,0.01001143,0.0104139936487545,0.0,0.0,0.0383141497173668,0.0071079877089856,-0.0022185935577278,0.9269789416785944
TRXB11.SA,0.040899,0.5092012291075436,0.0,0.0,0.0081840859670867,-0.0140629299874884,0.005817570754591,1.613261500279399
VIUR11.SA,0.01059545,0.0630502735705433,0.0,0.0,-0.055457078830631,0.0068910765774144,0.0079908856168236,0.2535273659008691
RZTR11.SA,0.010092,0.307630643773189,0.0,0.0,0.0004633945032117,-0.0120837669329347,0.0095592541945327,1.0146408155509388
JFLL11.SA,0.01094724,0.0422509862134503,0.278722,0.0,0.0192684513620324,-0.0121486577723522,0.0057870704155795,0.7090429834646734
GLOG11.SA,0.003767,0.0044452952187267,0.0,0.0,0.0262570522989274,-0.0155965424404894,0.0054432207094214,0.5966186322146945
BTML11.SA,0.02202,0.0172056827965146,0.0969861221528288,0.025,0.0029710945515964,-0.0070742339292196,-0.0013549426582807,0.8404013368013847
CYCR11.SA,0.011341,0.0144493725160539,0.0,0.0,-0.0888288388298775,0.0348418398509955,0.0030919305275731,0.8966188131917134
RBRS11.SA,0.001769,0.0032220892380034,0.3035277943740841,0.0,0.106016664491552,-0.0285714783123575,0.0054187173620892,0.3768629671549681
RZAK11.SA,0.014821,0.0785392359734569,0.0,0.0,0.0235122788455037,0.0063966176134239,0.0011010731068534,0.8948562816569655
AFHI11.SA,0.0,0.0009336379334483,0.0,0.0,0.0174365484147382,0.0114837449486812,0.003829576124492,0.9823119524991516
KISU11.SA,7e-06,0.000834219874892,0.0,0.0,-0.0533250967396754,-0.045093072438191,0.0105110354639313,0.8339710511426577
VGHF11.SA,0.00817439,0.0710431359972784,0.0,0.0,-0.0075129069950831,0.0068121985753311,0.0060479244550869,0.8178046881465801
BTSI11.SA,0.006876,0.000396364733297,0.0,0.0,-0.0046237996860621,-0.0036115652663847,-0.001790167355962,0.866682777344934
DEVA11.SA,0.00449971,0.0007213679978547,0.0,0.0,0.0055689181921293,-0.0199215795121502,-0.0042033742689899,0.2516505454206637
RELG11.SA,0.009357,0.0103743650247824,0.0,0.0,0.0172533028165847,-0.0474811845690596,0.00668512640861,0.7313928998886444
BBFO11.SA,0.009588,0.0109426167212253,0.0,0.0,0.0320298411392511,-0.0017197376385608,0.0049498602120766,0.8095865033681257
PNDL11.SA,0.0,0.0457095293518046,0.0,0.0,0.0584014460902358,0.0127516047691798,-0.0007929002690527,0.5821439226156169
RBHY11.SA,0.01147,0.0148551105104518,0.0,0.0,-0.0117450265463857,-0.0068913054506953,0.0050809555869616,0.8101357217920175
GCRI11.SA,0.007834,0.0405914941787092,0.0,0.0,0.0770003273771668,0.024925214763265,0.0061650125477621,0.6928211644981712
HGIC11.SA,0.00725499,0.0097362349989336,0.0,0.0,-0.0397147316017428,-0.0257613762356467,0.0105701700055907,0.5620487358611481
CXCO11.SA,0.00942865,0.0096139331500658,0.0,0.0,0.0553117629145534,-0.0040306595717471,0.0037299551310253,0.6749442381055697
LIFE11.SA,0.01213744,0.0169140750660993,0.0,0.0,0.0124977358347053,-0.0055379634839752,0.0068414253610728,0.8014620221854424
DVFF11.SA,0.0,0.0089258275133284,0.0,0.0,0.0454644039105975,-0.0452593407154877,0.0145921839827342,0.644593961352249
SNFF11.SA,0.0,0.001370131073943,0.0,0.0,0.019877610730276,-0.0108938790027166,0.0055107942003166,0.8510887937066776
IBCR11.SA,0.0,0.0015403340110304,0.0,0.0,-0.0145888883650138,-0.0026287990789311,0.0072953581046126,0.514343616944384
NCRI11.SA,0.0,0.0015298528339901,0.0,0.0,0.0232954022766005,-0.0003212069227086,-0.0032851787771246,0.8805016296180942
VCRR11.SA,0.00397,0.0347679585204996,0.2092163353439258,0.0,0.0740741715306138,-0.0233146252298045,0.009277337783094,0.6278205680035359
CXAG11.SA,0.007776,0.008223916256318,0.0,0.0,0.0119110622370058,-0.021052246680268,0.0064811377872132,0.6690185315940826
SPMO11.SA,0.0,0.0001175813840519,0.0,0.0,-0.0286164659245054,-0.0105351090671021,-0.0055723058113919,1.1170077384375166
ZAVI11.SA,0.00813956,0.3610786644017273,0.0083062665953882,0.1111111111111111,0.0883225738694317,0.0210462680846314,0.014413838573364,0.7253058469687681
JASC11.SA,0.006016,0.0009642304058224,0.007763059814014,0.0023529411764705,0.0223395835213256,0.0001076909826077,0.0001385688550032,0.880912728025267
EQIR11.SA,0.0,0.0010839345192342,0.0,0.0,0.0313158594358368,-0.0054361868049983,-0.0032549480467957,0.8292936813492471
IRIM11.SA,0.0,0.023018288746681,0.0,0.0,0.0178270317775032,-0.0111163679334737,0.0125308374089855,0.779899631502222
SNCI11.SA,0.0,0.0971203546416881,0.0,0.0,-0.0015040005753172,0.0031693173118341,0.0047859670370232,0.831078320739562
BLCA11.SA,0.004351,0.5679039961757903,0.0,0.0,-0.0519905333752991,0.0270297773838998,0.0059800244505428,0.7219082475333807
